Candidate,Feature_Set,Repeat,Fold,Train_Accuracy,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Fit_Time_Seconds,Score_Time_Seconds
Clinical Random Forest,Clinical,10,1,1.0,0.7,0.6,0.75,0.6666666666666666,0.7708333333333334,0.30988264083862305,0.10447955131530762
Clinical Random Forest,Clinical,10,2,1.0,0.9,1.0,0.75,0.8571428571428571,1.0,0.309495210647583,0.0995182991027832
Clinical Random Forest,Clinical,10,3,1.0,0.6,0.5,0.5,0.5,0.7083333333333334,0.31784749031066895,0.0961451530456543
Clinical Random Forest,Clinical,10,4,1.0,0.4444444444444444,0.42857142857142855,0.75,0.5454545454545454,0.65,0.3037302494049072,0.10019159317016602
Clinical Random Forest,Clinical,10,5,1.0,0.8888888888888888,1.0,0.75,0.8571428571428571,0.9500000000000001,0.3186678886413574,0.10173964500427246
Clinical Support Vector Machine,Clinical,1,1,1.0,0.6,0.5,0.5,0.5,0.7916666666666667,0.00960087776184082,0.017560243606567383
Clinical Support Vector Machine,Clinical,1,2,0.9736842105263158,0.3,0.2,0.25,0.2222222222222222,0.5,0.008702754974365234,0.014170646667480469
Clinical Support Vector Machine,Clinical,1,3,1.0,0.8,0.6666666666666666,1.0,0.8,0.7083333333333334,0.008487462997436523,0.014427423477172852
Clinical Support Vector Machine,Clinical,1,4,0.9743589743589743,0.7777777777777778,0.6666666666666666,1.0,0.8,1.0,0.01121068000793457,0.01424717903137207
Clinical Support Vector Machine,Clinical,1,5,0.9743589743589743,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.9,0.009161710739135742,0.014150381088256836
Clinical Support Vector Machine,Clinical,2,1,0.9736842105263158,0.6,0.5,1.0,0.6666666666666666,0.75,0.008903741836547852,0.015041351318359375
Clinical Support Vector Machine,Clinical,2,2,0.9736842105263158,0.5,0.3333333333333333,0.25,0.2857142857142857,0.5833333333333334,0.00933694839477539,0.014913082122802734
Clinical Support Vector Machine,Clinical,2,3,1.0,0.4,0.25,0.25,0.25,0.5833333333333334,0.00902557373046875,0.015661954879760742
Clinical Support Vector Machine,Clinical,2,4,1.0,1.0,1.0,1.0,1.0,1.0,0.009176492691040039,0.014589309692382812
Clinical Support Vector Machine,Clinical,2,5,1.0,0.7777777777777778,0.75,0.75,0.75,0.8500000000000001,0.009739875793457031,0.014345884323120117
Clinical Support Vector Machine,Clinical,3,1,1.0,0.5,0.3333333333333333,0.25,0.2857142857142857,0.6666666666666666,0.00925755500793457,0.016193866729736328
Clinical Support Vector Machine,Clinical,3,2,0.9736842105263158,0.8,0.75,0.75,0.75,0.7916666666666667,0.008913278579711914,0.01481175422668457
Clinical Support Vector Machine,Clinical,3,3,0.9736842105263158,0.6,0.5,0.75,0.6,0.8333333333333334,0.009230613708496094,0.01608109474182129
Clinical Support Vector Machine,Clinical,3,4,1.0,1.0,1.0,1.0,1.0,1.0,0.00902700424194336,0.01653456687927246
Clinical Support Vector Machine,Clinical,3,5,0.9743589743589743,0.5555555555555556,0.5,0.5,0.5,0.75,0.009280681610107422,0.018689632415771484
Clinical Support Vector Machine,Clinical,4,1,1.0,0.6,0.5,1.0,0.6666666666666666,0.7083333333333334,0.011283397674560547,0.017480134963989258
Clinical Support Vector Machine,Clinical,4,2,0.9736842105263158,0.7,0.6666666666666666,0.5,0.5714285714285714,0.8333333333333334,0.010164499282836914,0.017137765884399414
Clinical Support Vector Machine,Clinical,4,3,0.9736842105263158,0.8,0.75,0.75,0.75,0.875,0.009562492370605469,0.01935434341430664
Clinical Support Vector Machine,Clinical,4,4,0.9743589743589743,0.5555555555555556,0.5,0.5,0.5,0.8,0.008493185043334961,0.01508331298828125
Clinical Support Vector Machine,Clinical,4,5,0.9743589743589743,0.8888888888888888,0.8,1.0,0.8888888888888888,0.9500000000000001,0.008847236633300781,0.015194892883300781
Clinical Support Vector Machine,Clinical,5,1,0.9736842105263158,0.7,0.6666666666666666,0.5,0.5714285714285714,0.75,0.009123563766479492,0.015390396118164062
Clinical Support Vector Machine,Clinical,5,2,0.9736842105263158,0.3,0.2857142857142857,0.5,0.36363636363636365,0.5,0.008691787719726562,0.015706300735473633
Clinical Support Vector Machine,Clinical,5,3,1.0,0.8,0.6666666666666666,1.0,0.8,0.7916666666666667,0.009239912033081055,0.015393972396850586
Clinical Support Vector Machine,Clinical,5,4,0.9743589743589743,0.7777777777777778,0.6666666666666666,1.0,0.8,0.9500000000000001,0.009854555130004883,0.01668238639831543
Clinical Support Vector Machine,Clinical,5,5,1.0,0.8888888888888888,1.0,0.75,0.8571428571428571,0.85,0.01060175895690918,0.017200231552124023
Clinical Support Vector Machine,Clinical,6,1,1.0,0.5,0.4,0.5,0.4444444444444444,0.5833333333333334,0.008909940719604492,0.015177726745605469
Clinical Support Vector Machine,Clinical,6,2,0.9736842105263158,0.8,0.75,0.75,0.75,0.7916666666666667,0.008830070495605469,0.015524625778198242
Clinical Support Vector Machine,Clinical,6,3,0.9473684210526315,0.9,0.8,1.0,0.8888888888888888,1.0,0.010049819946289062,0.016582489013671875
Clinical Support Vector Machine,Clinical,6,4,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.9,0.010036230087280273,0.015619754791259766
Clinical Support Vector Machine,Clinical,6,5,0.9743589743589743,0.5555555555555556,0.5,0.75,0.6,0.6,0.010268688201904297,0.015739917755126953
Clinical Support Vector Machine,Clinical,7,1,0.9736842105263158,0.6,0.5,0.5,0.5,0.7083333333333334,0.009258270263671875,0.022183895111083984
Clinical Support Vector Machine,Clinical,7,2,0.9736842105263158,0.7,0.6,0.75,0.6666666666666666,0.7083333333333333,0.010799884796142578,0.016359806060791016
Clinical Support Vector Machine,Clinical,7,3,1.0,0.8,0.75,0.75,0.75,0.9166666666666667,0.011201620101928711,0.017081022262573242
Clinical Support Vector Machine,Clinical,7,4,1.0,0.6666666666666666,0.6,0.75,0.6666666666666666,0.75,0.00910329818725586,0.017843961715698242
Clinical Support Vector Machine,Clinical,7,5,1.0,0.8888888888888888,0.8,1.0,0.8888888888888888,0.8,0.011551141738891602,0.015670299530029297
Clinical Support Vector Machine,Clinical,8,1,0.9736842105263158,0.9,0.8,1.0,0.8888888888888888,1.0,0.009172677993774414,0.01683187484741211
Clinical Support Vector Machine,Clinical,8,2,1.0,0.9,0.8,1.0,0.8888888888888888,0.8333333333333334,0.009851217269897461,0.01611924171447754
Clinical Support Vector Machine,Clinical,8,3,1.0,0.6,0.5,0.75,0.6,0.625,0.009351015090942383,0.016618967056274414
Clinical Support Vector Machine,Clinical,8,4,0.9743589743589743,0.5555555555555556,0.5,0.5,0.5,0.44999999999999996,0.009341955184936523,0.016682147979736328
Clinical Support Vector Machine,Clinical,8,5,0.9743589743589743,0.6666666666666666,0.6,0.75,0.6666666666666666,0.75,0.008704185485839844,0.015605926513671875
Clinical Support Vector Machine,Clinical,9,1,0.9736842105263158,0.8,0.75,0.75,0.75,0.8333333333333334,0.009053230285644531,0.016528606414794922
Clinical Support Vector Machine,Clinical,9,2,1.0,0.7,0.6,0.75,0.6666666666666666,0.7083333333333333,0.009311676025390625,0.016126632690429688
Clinical Support Vector Machine,Clinical,9,3,0.9210526315789473,0.5,0.4444444444444444,1.0,0.6153846153846154,1.0,0.009347677230834961,0.014955282211303711
Clinical Support Vector Machine,Clinical,9,4,0.9743589743589743,0.5555555555555556,0.5,0.5,0.5,0.7,0.008852958679199219,0.01603555679321289
Clinical Support Vector Machine,Clinical,9,5,1.0,0.5555555555555556,0.5,0.5,0.5,0.75,0.009841203689575195,0.01679539680480957
Clinical Support Vector Machine,Clinical,10,1,0.9736842105263158,0.7,0.6,0.75,0.6666666666666666,0.625,0.009566307067871094,0.015713214874267578
