Candidate,Feature_Set,Model_Stage,Repeat,Fold,Train_Accuracy,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Fit_Time_Seconds,Score_Time_Seconds
Clinical Support Vector Machine,Clinical,Tuned,9,4,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.7,0.008840322494506836,0.014692544937133789
Clinical Support Vector Machine,Clinical,Tuned,9,5,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.8,0.011028766632080078,0.018690824508666992
Clinical Support Vector Machine,Clinical,Tuned,10,1,0.5789473684210527,0.6,0.0,0.0,0.0,0.7500000000000001,0.009872913360595703,0.016424179077148438
Clinical Support Vector Machine,Clinical,Tuned,10,2,0.5789473684210527,0.6,0.0,0.0,0.0,0.9166666666666667,0.010203361511230469,0.01841878890991211
Clinical Support Vector Machine,Clinical,Tuned,10,3,0.5789473684210527,0.6,0.0,0.0,0.0,0.8333333333333334,0.009392499923706055,0.016932249069213867
Clinical Support Vector Machine,Clinical,Tuned,10,4,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.5499999999999999,0.009492874145507812,0.016178607940673828
Clinical Support Vector Machine,Clinical,Tuned,10,5,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,1.0,0.008790969848632812,0.015566110610961914
Multimodal XGBoost,Multimodal,Tuned,1,1,0.5789473684210527,0.6,0.0,0.0,0.0,0.8333333333333334,0.036773681640625,0.024481773376464844
Multimodal XGBoost,Multimodal,Tuned,1,2,0.8421052631578947,0.5,0.3333333333333333,0.25,0.2857142857142857,0.5208333333333334,0.03856301307678223,0.02681756019592285
Multimodal XGBoost,Multimodal,Tuned,1,3,0.5789473684210527,0.6,0.0,0.0,0.0,0.7916666666666666,0.03961515426635742,0.026105642318725586
Multimodal XGBoost,Multimodal,Tuned,1,4,0.5897435897435898,0.5555555555555556,0.0,0.0,0.0,1.0,0.03977775573730469,0.03170156478881836
Multimodal XGBoost,Multimodal,Tuned,1,5,0.5897435897435898,0.5555555555555556,0.0,0.0,0.0,0.8500000000000001,0.034416913986206055,0.024358272552490234
Multimodal XGBoost,Multimodal,Tuned,2,1,0.8421052631578947,0.6,0.5,1.0,0.6666666666666666,0.6666666666666667,0.037979841232299805,0.023692607879638672
